lat,long,count
9.25,-70.75,1
-33.25,19.25,2
31.75,-97.25,1
2.25,-75.75,15
52.25,26.25,1
39.75,2.75,1
6.75,121.75,20
-22.75,-51.75,73
60.25,64.75,1
38.75,28.75,1
10.75,123.75,1
7.75,-72.25,3
40.75,-4.25,2
41.75,3.25,1
38.25,15.25,1
42.75,73.25,1
43.75,-98.25,2
-10.25,123.75,4
36.25,127.25,4
-6.75,108.25,11
2.25,37.75,1
23.25,87.75,2
5.25,46.25,1
16.25,100.25,1
62.25,25.75,6
18.25,-63.25,4
43.75,6.25,1
59.25,11.25,5
25.75,91.75,3
38.75,-119.75,4
36.25,37.75,1
15.25,38.75,1
21.75,-78.75,12
17.75,-3.75,3
65.75,22.25,1
37.75,-1.25,1
41.25,-72.75,36
-51.75,-59.75,1
-0.75,36.25,2
18.25,120.75,2
22.75,88.25,75
13.75,100.75,139
63.25,14.75,3
1.75,9.75,18
52.25,5.75,17
42.25,-85.25,1
5.75,-72.75,2
57.75,12.25,1
29.75,76.75,1
-8.25,-74.75,2
-18.75,46.75,18
44.25,4.25,79
-33.75,18.75,39
-11.75,-37.75,1
33.75,-7.25,1
7.25,6.75,7
37.25,14.25,1
-22.25,30.25,1
-21.25,-175.25,1
-20.25,-48.75,1
41.25,-81.25,13
-12.75,28.75,2
43.25,-88.75,3
40.25,-76.75,8
42.25,-83.75,26
29.75,75.25,1
6.75,124.75,2
26.25,79.75,1
-29.25,-49.75,1
42.25,-75.75,12
-7.75,111.25,8
41.25,42.75,1
46.75,-92.25,6
14.25,0.75,7
-9.75,34.75,1
34.75,-120.25,2
43.75,13.25,3
18.75,-99.25,12
46.75,17.25,1
34.25,135.25,1
-17.75,177.25,1
40.75,-83.25,1
11.75,-8.25,1
51.75,7.75,8
22.75,-102.75,4
36.25,-86.75,75
10.75,79.25,4
40.75,24.25,1
34.75,-85.25,1
-13.75,-171.75,2
20.25,-88.75,1
41.75,-72.75,119
24.75,84.75,2
18.25,-96.25,1
47.75,25.75,1
32.75,-93.75,3
54.75,18.75,2
40.75,-89.75,4
42.75,20.75,1
26.75,94.25,1
41.25,24.25,5
61.25,-149.75,20
58.25,12.25,1
18.25,79.25,4
35.75,-86.75,4
6.25,-75.75,167
50.25,3.75,1
-20.75,-51.75,1
26.75,-82.25,1
-34.25,22.25,3
7.25,2.25,1
35.25,-96.75,1
7.75,-1.25,6
3.75,100.75,4
33.25,-80.25,2
51.75,0.25,11
0.75,123.25,7
41.75,-83.25,48
12.25,76.75,8
48.25,19.75,1
40.75,-3.75,1
50.25,-104.75,18
1.75,33.75,1
15.25,80.25,1
23.75,90.75,2
14.25,108.25,88
32.75,-80.25,1
33.25,44.25,9
41.25,-80.25,3
52.25,5.25,181
55.75,13.25,25
44.75,-93.75,5
-23.75,-49.25,1
24.75,90.25,2
52.25,20.75,1
26.25,127.75,3
42.25,-121.75,1
40.75,23.25,1
42.75,-106.25,3
46.75,23.75,4
34.75,-77.25,26
65.25,21.25,1
37.25,127.25,5
-28.25,153.25,83
45.75,-0.75,1
-27.25,-51.25,1
49.75,-119.25,24
45.25,-122.75,25
-26.25,28.75,2
45.25,20.25,2
41.75,69.75,2
3.75,8.75,5
41.25,-100.75,2
41.75,14.25,1
55.25,-118.75,2
-33.75,-60.75,4
50.25,4.75,1
46.25,-118.25,2
10.75,-85.25,1
24.25,-12.75,78
-3.25,37.25,1
5.25,7.75,1
46.75,-120.75,2
7.75,125.25,3
45.75,-62.75,4
16.75,81.75,2
33.75,-84.25,246
53.75,20.25,1
15.25,76.75,4
40.75,72.25,1
20.75,-88.25,4
51.25,22.75,1
51.75,6.25,3
51.25,-0.75,29
25.75,51.75,1
32.25,-117.25,1
42.25,-88.25,44
-7.25,108.25,19
44.75,33.75,6
46.75,-71.25,48
43.75,4.25,2
59.25,10.25,3
25.75,83.75,3
-39.75,175.25,1
-4.75,-37.75,1
-17.75,-51.75,1
50.25,-122.75,1
14.75,101.25,1
47.75,18.25,4
40.75,14.25,44
33.25,-112.75,2
24.25,55.75,8
16.75,80.75,9
42.75,74.75,3
-7.75,-79.25,4
35.25,-93.25,2
32.25,118.75,4
31.75,75.75,1
38.75,117.25,1
-1.25,-78.25,1
17.75,-97.75,67
-22.25,-43.75,1
52.75,-1.25,132
41.75,26.75,1
43.25,-77.75,36
33.75,-117.25,23
43.75,-8.25,1
42.75,-85.75,26
2.25,102.75,2
46.25,23.75,1
41.75,123.25,1
37.75,-97.25,37
16.75,74.75,3
34.25,131.25,1
-0.25,-78.25,2
41.25,14.25,5
31.25,31.75,2
-7.75,110.75,53
33.75,67.75,7
15.25,73.75,1
10.25,-69.25,14
-17.75,-63.25,1
27.25,94.25,2
40.75,17.25,6
1.25,101.25,1
17.25,8.25,1
56.75,14.75,3
40.75,-105.25,15
39.25,21.75,160
42.75,-76.25,1
9.25,8.75,44
14.75,-61.25,2
5.75,100.25,6
38.25,41.25,1
2.75,-60.75,2
-23.25,-46.25,2
40.75,-75.25,10
13.75,2.25,2
41.25,-83.75,5
-21.75,-47.75,1
-15.75,-47.75,429
43.25,-89.25,36
49.25,8.25,8
-13.75,33.75,2
43.75,2.25,1
21.25,106.25,1
49.25,16.75,4
-40.75,174.75,175
