input string, place, country, latitude, longitude, count
"#351 hwy 225","","",,,1
"#allah'sworld","","",,,1
"#balii#ndonesia #asean global","","",,,1
"#childprotection","","",,,1
"#explorecanada #exploresask","","",,,1
"#eyrepeninsula, sa","","",,,1
"#gamonal burgos, spain.","","",,,1
"#hamont","","",,,1
"#indianheadmd","","",,,1
"#indonesianidol2014","","",,,1
"#innovationtop50 #top100women","","",,,1
"#inpdx","","",,,1
"#inthe?«„Ä„Î???µ","","",,,1
"#katulampa #kotabogor","","",,,1
"#kent","kent","united states",47.38093,-122.23484,1
"#kotka #finland","","",,,1
"#larochesuryon #vendee","","",,,1
"#latinamerica #bolivia","","",,,1
"#lebanon #liban","","",,,1
"#liverpool uk","","",,,1
"#milton, ontario, canada","milton","united states",34.13216,-84.30067,1
"#miltonon","","",,,1
"#name?","","",,,1
"#nantes","nantes","france",47.21725,-1.55336,1
"#orlÌ©ans #paris #972","","",,,1
"#paris #udi #iledefrance","","",,,1
"#paris - france","","",,,1
"#pittsburgh","pittsburgh","united states",40.44062,-79.99589,1
"#renewforever #nohate #walkerfail","","",,,1
"#sat & #ict","","",,,1
"#shs4bdg;#4science7;#ehbdg","","",,,1
"#slowcoast, california, usa","","",,,1
"#southafrica","south africa","south africa",-30.559482,22.937506,1
"#stratfordon #toronto #ldnont","","",,,1
"#tableview, #capetown","","",,,1
"#tampico","tampico","mexico",22.25528,-97.86861,1
"#vancouver, bc, canada","vancouver","united states",45.63873,-122.66149,1
"#wellboro, ottawa, canada","canada","canada",56.130366,-106.346771,1
"#westchester, new york","westchester","united states",41.85059,-87.882,1
"#yeg","","",,,1
"#yxe","","",,,1
"$10 discont at the gate;]","","",,,1
"'cafe 80's' - earth - uk","","",,,1
"'s-hertogenbosch","'s-hertogenbosch","netherlands",51.69917,5.30417,1
"(+62 251) (+62 711)","","",,,1
"(have now left london)","","",,,1
"(surabaya, indonesia)","surabaya","indonesia",-7.24917,112.75083,1
"***ˆ´ê‰ÏÁdivine pimentinha‰ÏÁˆ´ê***","","",,,1
"**hermosillo,son **mulegÌ©, bcs","hermosillo","mexico",29.1026,-110.97732,1
"*butterflies*","","",,,1
"*poof*","","",,,1
"+ 961 4 444 145","","",,,1
"+353 53 9256804","","",,,1
"+62(0251)","","",,,1
"+62(274)","","",,,1
"- indonesia -","","",,,1
"- italy -","","",,,1
"- jakarta -","","",,,1
"-0.185028,-78.484657","","",-0.185028,-78.484657,1
"-0.321475,103.162293","","",-0.321475,103.162293,1
"-33.88155,151.104588","","",-33.88155,151.104588,1
"-56120","","",,,1
"-6.250345,106.495804","","",-6.250345,106.495804,1
"-6.281928,106.932538","","",-6.281928,106.932538,1
"-7.309666,112.677621","","",-7.309666,112.677621,1
"-bumi allah-","","",,,1
". singapore","singapore","singapore",1.352083,103.819836,1
"...","","",,,1
"... ‰Ïö","","",,,1
"...everywhere...","","",,,1
"...terra! por mais distante...","","",,,1
"...worldwide...","","",,,1
".bdg","","",,,1
".los angeles.","los angeles","united states",34.05223,-118.24368,1
".singapura.","","",,,1
".togetherwecanhealtheworld.","","",,,1
".us","","",,,1
"0-0","","",,,1
"0234 | 0651 done | 061 | 031","","",,,1
"07å? 59‰Ûª ls 112å? 36‰Ûª bt","","",,,1
"07å¡ 32‰Ûª ls, 110å¡ 50‰Ûª bt","","",,,1
"1 princes street, edinburgh","","",,,1
"1-2807 w16th ave vancouver, bc","","",,,1
"10 2'-11 12'n & 60 30'- 61 56w","","",,,1
"10 downing street","","",,,1
"10 pobedy square, kaliningrad","","",,,1
"10135 100 st. nw, edmonton, ab","","",,,1
"11.3.15","","",,,1
"1111 w chicago ave, chicago il","","",,,1
"117 saltmarket, glasgow","","",,,1
"119-145 spence street cairns","","",,,1
"119å¡25'48,3 lu 05å¡11'09,3 bt","","",,,1
"1200 west broadway north mpls","","",,,1
"12630","","",,,1
"127.0.0.1","","",,,1
"13.685703,-89.228521","","",13.685703,-89.228521,1
"1316 33 street ne, calgary","","",,,1
"133 leighton rd, causeway bay","","",,,2
"1348 st clair ave w.toronto,on","","",,,1
"15 yemen road, yemen","yemen","yemen",15.552727,48.516388,1
"150 day st, sydney","","",,,1
"155 caster ave. woodbridge ont","","",,,1
"15th of may. uae","","",,,1
"16 countries","","",,,1
"16 | paris sud","","",,,1
"17 head st., hamilton, on l8r","","",,,1
"177 countries & territories","","",,,1
"1800 sheppard ave e., toronto","","",,,1
"1807, ph","","",,,1
"19 boonton avenue, boonton, nj","","",,,1
"19 yorkville ave. toronto","","",,,1
"19000 leslie street","","",,,1
"1992","","",,,1
"1au - earth - u.s.","","",,,1
"2.74666,101.711004","","",2.74666,101.711004,1
"2014. 04. 16","","",,,1
